revenue_record_id,transaction_id,booking_date,customer_id,product,booked_amount_usd,revenue_category,mismatch_type
REV000059,TX000060,2024-01-09,CUST0189,subscription_annual,2092.95,Recurring Revenue,matched
REV000060,TX000061,2024-01-10,CUST0477,api_usage,419.5,Usage Revenue,matched
REV000061,TX000062,2024-01-10,CUST0378,transaction_fee,26.29,Transaction Revenue,matched
REV000062,TX000063,2024-01-10,CUST0346,subscription_annual,341.69,Recurring Revenue,matched
REV000063,TX000064,2024-01-10,CUST0388,transaction_fee,117.09,Transaction Revenue,matched
REV000064,TX000065,2024-01-10,CUST0241,api_usage,306.8,Usage Revenue,matched
REV000065,TX000066,2024-01-11,CUST0270,subscription_annual,2179.03,Recurring Revenue,matched
REV000066,TX000067,2024-01-11,CUST0498,subscription_monthly,255.3,Recurring Revenue,matched
REV000067,TX000068,2024-01-11,CUST0219,transaction_fee,120.62,Transaction Revenue,matched
REV000068,TX000069,2024-01-11,CUST0417,transaction_fee,144.18,Transaction Revenue,matched
REV000069,TX000070,2024-01-11,CUST0406,transaction_fee,80.85,Transaction Revenue,matched
REV000070,TX000071,2024-01-12,CUST0176,transaction_fee,73.79,Transaction Revenue,matched
REV000071,TX000072,2024-01-12,CUST0387,subscription_annual,1375.1,Recurring Revenue,matched
REV000072,TX000073,2024-01-12,CUST0471,transaction_fee,23.9,Transaction Revenue,matched
REV000073,TX000074,2024-01-12,CUST0341,subscription_monthly,183.6,Recurring Revenue,matched
REV000074,TX000075,2024-01-12,CUST0233,subscription_annual,1037.93,Recurring Revenue,matched
REV000075,TX000076,2024-01-12,CUST0151,subscription_monthly,277.75,Recurring Revenue,matched
REV000076,TX000077,2024-01-12,CUST0452,subscription_monthly,186.46,Recurring Revenue,matched
REV000077,TX000078,2024-01-12,CUST0277,subscription_monthly,189.07,Recurring Revenue,matched
REV000078,TX000079,2024-01-12,CUST0229,subscription_monthly,124.83,Recurring Revenue,matched
REV000079,TX000080,2024-01-12,CUST0171,transaction_fee,8.75,Transaction Revenue,matched
REV000080,TX000081,2024-01-13,CUST0223,subscription_monthly,37.57,Recurring Revenue,matched
REV000081,TX000082,2024-01-13,CUST0213,subscription_annual,1433.0,Recurring Revenue,matched
REV000082,TX000083,2024-01-13,CUST0282,subscription_monthly,51.83,Recurring Revenue,matched
REV000083,TX000084,2024-01-13,CUST0041,subscription_monthly,192.85,Recurring Revenue,matched
REV000084,TX000085,2024-01-13,CUST0122,subscription_monthly,266.86,Recurring Revenue,matched
REV000085,TX000086,2024-01-13,CUST0227,subscription_monthly,267.39,Recurring Revenue,matched
REV000086,TX000087,2024-01-14,CUST0294,transaction_fee,99.2,Transaction Revenue,matched
REV000087,TX000088,2024-02-05,CUST0088,transaction_fee,32.47,Transaction Revenue,period_shift
REV000088,TX000089,2024-01-14,CUST0267,transaction_fee,129.59,Transaction Revenue,matched
REV000089,TX000090,2024-01-14,CUST0489,subscription_annual,2682.45,Recurring Revenue,matched
REV000090,TX000091,2024-01-14,CUST0029,subscription_monthly,82.1,Recurring Revenue,matched
REV000091,TX000092,2024-01-14,CUST0495,api_usage,370.03,Usage Revenue,matched
REV000092,TX000093,2024-01-14,CUST0247,subscription_annual,1063.6,Recurring Revenue,matched
REV000093,TX000094,2024-01-14,CUST0316,subscription_annual,2457.13,Recurring Revenue,matched
REV000094,TX000095,2024-01-14,CUST0451,subscription_monthly,298.25,Recurring Revenue,matched
REV000095,TX000096,2024-01-14,CUST0449,subscription_monthly,37.11,Recurring Revenue,matched
REV000096,TX000097,2024-01-15,CUST0244,subscription_monthly,271.29,Recurring Revenue,matched
REV000097,TX000098,2024-01-15,CUST0061,subscription_monthly,197.11,Recurring Revenue,matched
REV000098,TX000099,2024-01-15,CUST0147,subscription_annual,2918.13,Recurring Revenue,matched
REV000099,TX000101,2024-01-15,CUST0433,transaction_fee,127.26,Transaction Revenue,matched
REV000100,TX000102,2024-01-15,CUST0278,transaction_fee,10.3,Transaction Revenue,matched
REV000101,TX000103,2024-01-15,CUST0334,transaction_fee,50.96,Transaction Revenue,matched
REV000102,TX000104,2024-01-15,CUST0369,transaction_fee,10.99,Transaction Revenue,matched
REV000103,TX000105,2024-01-16,CUST0441,professional_services,4889.04,Services Revenue,matched
REV000104,TX000106,2024-01-16,CUST0379,subscription_monthly,249.58,Recurring Revenue,matched
REV000105,TX000107,2024-01-16,CUST0142,subscription_monthly,259.19,Recurring Revenue,matched
REV000106,TX000108,2024-01-17,CUST0044,subscription_monthly,282.25,Recurring Revenue,matched
REV000107,TX000109,2024-01-17,CUST0144,transaction_fee,13.68,Transaction Revenue,matched
REV000108,TX000110,2024-01-17,CUST0353,api_usage,195.87,Usage Revenue,matched
REV000109,TX000111,2024-01-17,CUST0333,subscription_monthly,48.18,Recurring Revenue,matched
REV000110,TX000112,2024-01-17,CUST0486,api_usage,109.34,Usage Revenue,matched
REV000111,TX000113,2024-01-17,CUST0497,subscription_monthly,90.93,Recurring Revenue,matched
REV000112,TX000114,2024-01-17,CUST0396,api_usage,237.21,Usage Revenue,matched
REV000113,TX000115,2024-01-18,CUST0055,subscription_monthly,101.51,Recurring Revenue,matched
REV000114,TX000116,2024-01-18,CUST0307,subscription_monthly,56.26,Recurring Revenue,matched
REV000115,TX000117,2024-01-18,CUST0358,subscription_annual,732.07,Recurring Revenue,amount_mismatch
REV000116,TX000118,2024-01-19,CUST0423,subscription_monthly,68.76,Recurring Revenue,matched
REV000117,TX000119,2024-01-19,CUST0417,subscription_monthly,291.73,Recurring Revenue,matched
REV000118,TX000120,2024-01-19,CUST0161,subscription_monthly,234.01,Recurring Revenue,matched
REV000119,TX000121,2024-01-20,CUST0285,transaction_fee,145.2,Transaction Revenue,matched
REV000120,TX000122,2024-01-20,CUST0325,subscription_annual,1477.3,Recurring Revenue,matched
REV000121,TX000123,2024-01-20,CUST0198,subscription_monthly,104.16,Recurring Revenue,matched
REV000122,TX000124,2024-01-20,CUST0159,transaction_fee,119.95,Transaction Revenue,matched
REV000123,TX000125,2024-01-20,CUST0080,transaction_fee,49.61,Transaction Revenue,matched
REV000124,TX000126,2024-01-20,CUST0031,subscription_monthly,109.83,Recurring Revenue,matched
REV000125,TX000127,2024-01-21,CUST0473,subscription_annual,917.77,Recurring Revenue,matched
REV000126,TX000128,2024-01-21,CUST0112,subscription_monthly,64.01,Recurring Revenue,matched
REV000127,TX000129,2024-01-21,CUST0046,subscription_monthly,98.25,Recurring Revenue,matched
REV000128,TX000130,2024-01-21,CUST0353,transaction_fee,53.94,Transaction Revenue,matched
REV000129,TX000131,2024-01-22,CUST0205,subscription_monthly,210.98,Recurring Revenue,matched
REV000130,TX000132,2024-01-22,CUST0052,subscription_annual,458.93,Recurring Revenue,matched
REV000131,TX000133,2024-01-22,CUST0138,transaction_fee,32.37,Transaction Revenue,matched
REV000132,TX000134,2024-01-22,CUST0472,subscription_monthly,247.44,Recurring Revenue,matched
REV000133,TX000135,2024-01-22,CUST0074,subscription_annual,686.69,Recurring Revenue,matched
REV000134,TX000136,2024-01-22,CUST0041,subscription_monthly,121.51,Recurring Revenue,matched
REV000135,TX000137,2024-01-23,CUST0479,professional_services,4390.97,Services Revenue,matched
REV000136,TX000138,2024-01-23,CUST0077,subscription_annual,708.3,Recurring Revenue,matched
REV000137,TX000139,2024-01-23,CUST0387,transaction_fee,13.33,Transaction Revenue,matched
REV000138,TX000140,2024-01-23,CUST0187,subscription_annual,1598.25,Recurring Revenue,matched
REV000139,TX000141,2024-01-23,CUST0370,subscription_monthly,110.65,Recurring Revenue,matched
REV000140,TX000142,2024-01-24,CUST0052,transaction_fee,84.95,Transaction Revenue,matched
REV000141,TX000143,2024-01-24,CUST0418,professional_services,4117.12,Services Revenue,matched
REV000142,TX000144,2024-01-25,CUST0433,transaction_fee,21.44,Transaction Revenue,matched
REV000143,TX000145,2024-01-25,CUST0412,transaction_fee,87.52,Transaction Revenue,matched
REV000144,TX000146,2024-01-25,CUST0467,api_usage,255.23,Usage Revenue,matched
REV000145,TX000147,2024-01-25,CUST0087,subscription_monthly,67.9,Recurring Revenue,matched
REV000146,TX000148,2024-01-25,CUST0109,subscription_monthly,197.48,Recurring Revenue,matched
REV000147,TX000149,2024-01-25,CUST0480,transaction_fee,41.77,Transaction Revenue,matched
REV000148,TX000150,2024-01-25,CUST0397,subscription_annual,1607.15,Recurring Revenue,matched
REV000149,TX000151,2024-01-25,CUST0225,transaction_fee,13.26,Transaction Revenue,matched
REV000150,TX000152,2024-01-25,CUST0482,api_usage,232.49,Usage Revenue,matched
REV000151,TX000153,2024-01-26,CUST0481,subscription_monthly,111.75,Recurring Revenue,matched
REV000152,TX000154,2024-02-17,CUST0248,subscription_monthly,251.04,Recurring Revenue,period_shift
REV000153,TX000155,2024-01-26,CUST0069,transaction_fee,9.49,Transaction Revenue,matched
REV000154,TX000156,2024-01-26,CUST0120,subscription_monthly,142.02,Recurring Revenue,matched
REV000155,TX000157,2024-01-26,CUST0067,transaction_fee,69.31,Transaction Revenue,matched
REV000156,TX000158,2024-01-27,CUST0061,subscription_annual,2247.52,Recurring Revenue,matched
REV000157,TX000159,2024-01-27,CUST0444,transaction_fee,86.57,Transaction Revenue,matched
REV000158,TX000162,2024-01-27,CUST0191,subscription_annual,2617.95,Recurring Revenue,matched
REV000159,TX000163,2024-01-28,CUST0470,subscription_annual,1137.46,Recurring Revenue,matched
REV000160,TX000164,2024-01-28,CUST0493,subscription_monthly,174.27,Recurring Revenue,matched
REV000161,TX000165,2024-01-28,CUST0189,transaction_fee,126.18,Transaction Revenue,matched
REV000162,TX000166,2024-01-28,CUST0151,api_usage,494.78,Usage Revenue,matched
REV000163,TX000167,2024-01-28,CUST0286,subscription_monthly,269.17,Recurring Revenue,matched
REV000164,TX000168,2024-01-28,CUST0444,subscription_monthly,129.3,Recurring Revenue,matched
REV000165,TX000169,2024-01-29,CUST0402,subscription_monthly,81.69,Recurring Revenue,matched
REV000166,TX000170,2024-01-29,CUST0096,transaction_fee,73.92,Transaction Revenue,matched
REV000167,TX000171,2024-01-29,CUST0312,transaction_fee,111.5,Transaction Revenue,matched
REV000168,TX000172,2024-01-29,CUST0309,subscription_annual,1619.94,Recurring Revenue,matched
REV000169,TX000173,2024-01-29,CUST0263,subscription_monthly,159.46,Recurring Revenue,matched
REV000170,TX000174,2024-01-29,CUST0097,subscription_monthly,255.32,Recurring Revenue,matched
REV000171,TX000175,2024-01-29,CUST0453,subscription_annual,1265.79,Recurring Revenue,matched
REV000172,TX000176,2024-01-29,CUST0113,subscription_annual,2611.45,Recurring Revenue,matched
REV000173,TX000177,2024-01-30,CUST0476,professional_services,2330.62,Services Revenue,matched
REV000174,TX000178,2024-01-31,CUST0125,subscription_monthly,117.62,Recurring Revenue,matched
REV000175,TX000179,2024-01-31,CUST0456,transaction_fee,68.64,Transaction Revenue,matched
REV000176,TX000180,2024-02-01,CUST0463,subscription_annual,2348.61,Recurring Revenue,matched
REV000177,TX000181,2024-02-01,CUST0436,subscription_annual,630.21,Recurring Revenue,matched
REV000178,TX000182,2024-02-02,CUST0132,transaction_fee,30.27,Transaction Revenue,matched
REV000179,TX000183,2024-02-02,CUST0418,transaction_fee,142.77,Transaction Revenue,matched
REV000180,TX000184,2024-02-02,CUST0453,professional_services,1289.71,Services Revenue,matched
REV000181,TX000185,2024-02-02,CUST0417,subscription_monthly,182.29,Recurring Revenue,matched
REV000182,TX000186,2024-02-03,CUST0121,subscription_monthly,185.41,Recurring Revenue,matched
REV000183,TX000187,2024-02-03,CUST0197,transaction_fee,73.95,Transaction Revenue,matched
REV000184,TX000188,2024-02-03,CUST0294,subscription_annual,2030.81,Recurring Revenue,matched
REV000185,TX000189,2024-02-03,CUST0482,subscription_monthly,91.05,Recurring Revenue,matched
REV000186,TX000190,2024-02-03,CUST0122,subscription_monthly,178.22,Recurring Revenue,matched
REV000187,TX000191,2024-02-03,CUST0282,subscription_monthly,129.49,Recurring Revenue,matched
REV000188,TX000192,2024-02-04,CUST0385,api_usage,332.53,Usage Revenue,matched
REV000189,TX000193,2024-02-04,CUST0260,subscription_monthly,67.13,Recurring Revenue,matched
REV000190,TX000194,2024-02-04,CUST0039,subscription_monthly,183.14,Recurring Revenue,matched
REV000191,TX000195,2024-02-04,CUST0054,subscription_monthly,79.02,Recurring Revenue,matched
REV000192,TX000196,2024-02-04,CUST0474,subscription_monthly,104.23,Recurring Revenue,matched
REV000193,TX000197,2024-02-04,CUST0161,subscription_monthly,88.05,Recurring Revenue,matched
REV000194,TX000198,2024-02-04,CUST0289,subscription_annual,783.66,Recurring Revenue,matched
REV000195,TX000199,2024-02-05,CUST0200,subscription_monthly,251.94,Recurring Revenue,matched
REV000196,TX000200,2024-02-05,CUST0276,transaction_fee,43.57,Transaction Revenue,matched
REV000197,TX000201,2024-02-05,CUST0016,subscription_monthly,279.32,Recurring Revenue,matched
REV000198,TX000202,2024-02-05,CUST0405,subscription_annual,2908.8,Recurring Revenue,matched
REV000199,TX000203,2024-02-05,CUST0173,api_usage,287.77,Usage Revenue,matched
REV000200,TX000204,2024-02-05,CUST0248,transaction_fee,22.31,Transaction Revenue,matched
REV000201,TX000205,2024-02-06,CUST0383,subscription_annual,1301.28,Recurring Revenue,matched
REV000202,TX000206,2024-02-06,CUST0218,subscription_monthly,244.39,Recurring Revenue,matched
REV000203,TX000207,2024-02-06,CUST0087,subscription_monthly,128.2,Recurring Revenue,matched
REV000204,TX000208,2024-02-06,CUST0082,transaction_fee,13.97,Transaction Revenue,matched
REV000205,TX000209,2024-02-06,CUST0062,professional_services,3005.53,Services Revenue,matched
REV000206,TX000210,2024-02-06,CUST0287,transaction_fee,126.92,Transaction Revenue,matched
REV000207,TX000211,2024-02-07,CUST0042,subscription_annual,2439.0,Recurring Revenue,matched
REV000208,TX000212,2024-02-07,CUST0012,transaction_fee,27.09,Transaction Revenue,matched
REV000209,TX000213,2024-02-07,CUST0321,subscription_annual,2106.46,Recurring Revenue,matched
REV000210,TX000214,2024-02-07,CUST0234,subscription_monthly,88.54,Recurring Revenue,matched
REV000211,TX000215,2024-02-07,CUST0329,subscription_annual,879.16,Recurring Revenue,matched
REV000212,TX000216,2024-02-07,CUST0131,professional_services,4433.32,Services Revenue,matched
REV000213,TX000217,2024-02-08,CUST0115,subscription_monthly,96.41,Recurring Revenue,matched
REV000214,TX000218,2024-02-08,CUST0218,transaction_fee,40.22,Transaction Revenue,matched
REV000215,TX000219,2024-02-08,CUST0137,subscription_monthly,29.18,Recurring Revenue,matched
REV000216,TX000220,2024-02-08,CUST0106,subscription_annual,2640.81,Recurring Revenue,matched
REV000217,TX000221,2024-02-08,CUST0179,subscription_monthly,243.0,Recurring Revenue,matched
REV000218,TX000222,2024-02-08,CUST0016,subscription_annual,1983.79,Recurring Revenue,matched
REV000219,TX000223,2024-02-08,CUST0472,transaction_fee,112.79,Transaction Revenue,matched
REV000220,TX000224,2024-02-08,CUST0242,subscription_monthly,70.05,Recurring Revenue,matched
REV000221,TX000225,2024-02-08,CUST0334,transaction_fee,69.29,Transaction Revenue,matched
REV000222,TX000226,2024-02-08,CUST0381,transaction_fee,53.33,Transaction Revenue,matched
REV000223,TX000227,2024-02-08,CUST0387,api_usage,51.42,Usage Revenue,matched
REV000224,TX000228,2024-02-08,CUST0226,subscription_monthly,160.26,Recurring Revenue,matched
REV000225,TX000229,2024-02-08,CUST0481,subscription_monthly,277.6,Recurring Revenue,matched
REV000226,TX000230,2024-02-09,CUST0242,subscription_monthly,39.82,Recurring Revenue,matched
REV000227,TX000231,2024-02-09,CUST0408,professional_services,1811.57,Services Revenue,matched
REV000228,TX000233,2024-02-09,CUST0141,subscription_annual,933.0,Recurring Revenue,matched
REV000229,TX000234,2024-02-09,CUST0386,transaction_fee,136.36,Transaction Revenue,matched
REV000230,TX000235,2024-02-09,CUST0199,subscription_annual,1553.79,Recurring Revenue,matched
REV000231,TX000236,2024-02-09,CUST0112,transaction_fee,70.48,Transaction Revenue,matched
REV000232,TX000237,2024-02-10,CUST0127,subscription_monthly,234.36,Recurring Revenue,matched
REV000233,TX000238,2024-02-10,CUST0021,transaction_fee,24.02,Transaction Revenue,matched
REV000234,TX000239,2024-02-10,CUST0147,subscription_monthly,160.56,Recurring Revenue,matched
REV000235,TX000240,2024-02-10,CUST0089,transaction_fee,65.07,Transaction Revenue,matched
REV000236,TX000241,2024-02-10,CUST0303,transaction_fee,86.99,Transaction Revenue,amount_mismatch
REV000237,TX000242,2024-02-10,CUST0406,transaction_fee,149.93,Transaction Revenue,matched
REV000238,TX000243,2024-02-10,CUST0203,subscription_monthly,236.75,Recurring Revenue,matched
REV000239,TX000244,2024-02-11,CUST0417,subscription_monthly,136.42,Recurring Revenue,matched
REV000240,TX000245,2024-02-11,CUST0416,subscription_monthly,252.44,Recurring Revenue,matched
REV000241,TX000246,2024-02-11,CUST0448,subscription_monthly,75.09,Recurring Revenue,matched
REV000242,TX000247,2024-02-11,CUST0085,subscription_monthly,37.23,Recurring Revenue,matched
REV000243,TX000248,2024-02-11,CUST0167,api_usage,106.2,Usage Revenue,matched
REV000244,TX000249,2024-02-11,CUST0384,subscription_annual,1209.11,Recurring Revenue,matched
REV000245,TX000250,2024-02-11,CUST0468,subscription_monthly,166.86,Recurring Revenue,matched
REV000246,TX000251,2024-02-12,CUST0072,subscription_monthly,195.08,Recurring Revenue,matched
REV000247,TX000252,2024-02-12,CUST0298,subscription_annual,2748.64,Recurring Revenue,matched
REV000248,TX000253,2024-02-16,CUST0485,transaction_fee,76.97,Transaction Revenue,period_shift
REV000249,TX000254,2024-02-13,CUST0009,subscription_annual,1643.44,Recurring Revenue,matched
REV000250,TX000255,2024-02-13,CUST0281,api_usage,29.87,Usage Revenue,matched
REV000251,TX000256,2024-02-13,CUST0473,subscription_annual,384.26,Recurring Revenue,matched
REV000252,TX000257,2024-02-13,CUST0481,professional_services,2980.22,Services Revenue,matched
REV000253,TX000258,2024-02-13,CUST0258,api_usage,221.9,Usage Revenue,matched
REV000254,TX000259,2024-02-14,CUST0275,subscription_monthly,255.58,Recurring Revenue,matched
REV000255,TX000260,2024-02-14,CUST0238,api_usage,84.54,Usage Revenue,matched
REV000256,TX000261,2024-02-14,CUST0020,subscription_monthly,35.74,Recurring Revenue,matched
REV000257,TX000262,2024-02-15,CUST0490,transaction_fee,67.91,Transaction Revenue,matched
REV000258,TX000263,2024-02-15,CUST0233,subscription_monthly,93.12,Recurring Revenue,matched
REV000259,TX000264,2024-02-15,CUST0490,api_usage,29.56,Usage Revenue,matched
REV000260,TX000265,2024-02-15,CUST0221,api_usage,363.68,Usage Revenue,matched
REV000261,TX000266,2024-02-15,CUST0326,transaction_fee,17.63,Transaction Revenue,matched
REV000262,TX000267,2024-02-15,CUST0017,transaction_fee,91.64,Transaction Revenue,matched
REV000263,TX000268,2024-02-15,CUST0380,subscription_monthly,104.88,Recurring Revenue,matched
REV000264,TX000269,2024-02-16,CUST0089,subscription_monthly,75.84,Recurring Revenue,matched
REV000265,TX000270,2024-02-16,CUST0486,subscription_annual,1315.33,Recurring Revenue,matched
REV000266,TX000271,2024-02-16,CUST0196,subscription_monthly,245.39,Recurring Revenue,matched
REV000267,TX000272,2024-02-16,CUST0350,transaction_fee,59.42,Transaction Revenue,matched
REV000268,TX000273,2024-02-16,CUST0084,subscription_monthly,231.71,Recurring Revenue,matched
REV000269,TX000274,2024-02-16,CUST0387,professional_services,1064.69,Services Revenue,matched
REV000270,TX000275,2024-02-16,CUST0087,transaction_fee,116.14,Transaction Revenue,matched
REV000271,TX000276,2024-02-16,CUST0307,transaction_fee,36.3,Transaction Revenue,matched
REV000272,TX000277,2024-02-17,CUST0338,subscription_monthly,211.9,Recurring Revenue,matched
REV000273,TX000278,2024-02-17,CUST0154,api_usage,285.06,Usage Revenue,matched
REV000274,TX000279,2024-02-17,CUST0440,api_usage,464.93,Usage Revenue,matched
REV000275,TX000280,2024-02-18,CUST0228,subscription_annual,1335.77,Recurring Revenue,matched
REV000276,TX000281,2024-02-18,CUST0448,transaction_fee,10.86,Transaction Revenue,matched
REV000277,TX000282,2024-02-18,CUST0264,transaction_fee,3.85,Transaction Revenue,matched
REV000278,TX000283,2024-02-18,CUST0465,subscription_monthly,252.25,Recurring Revenue,matched
REV000279,TX000284,2024-02-19,CUST0223,subscription_annual,1706.79,Recurring Revenue,matched
REV000280,TX000285,2024-02-19,CUST0421,subscription_monthly,238.32,Recurring Revenue,matched
REV000281,TX000286,2024-02-19,CUST0493,subscription_monthly,92.29,Recurring Revenue,matched
REV000282,TX000287,2024-02-20,CUST0121,subscription_monthly,122.17,Recurring Revenue,matched
REV000283,TX000288,2024-02-20,CUST0481,subscription_monthly,37.13,Recurring Revenue,matched
REV000284,TX000289,2024-02-20,CUST0411,subscription_monthly,288.6,Recurring Revenue,matched
REV000285,TX000290,2024-02-20,CUST0173,subscription_monthly,209.32,Recurring Revenue,matched
REV000286,TX000291,2024-02-20,CUST0004,professional_services,4699.42,Services Revenue,matched
REV000287,TX000292,2024-02-20,CUST0342,subscription_annual,1006.84,Recurring Revenue,matched
REV000288,TX000294,2024-02-20,CUST0474,subscription_annual,2121.95,Recurring Revenue,matched
REV000289,TX000295,2024-02-21,CUST0480,subscription_monthly,114.74,Recurring Revenue,matched
REV000290,TX000296,2024-02-21,CUST0472,subscription_annual,2579.89,Recurring Revenue,matched
REV000291,TX000297,2024-02-21,CUST0110,subscription_annual,2847.34,Recurring Revenue,matched
REV000292,TX000298,2024-02-21,CUST0355,subscription_monthly,267.91,Recurring Revenue,matched
REV000293,TX000299,2024-02-22,CUST0037,transaction_fee,111.12,Transaction Revenue,matched
REV000294,TX000300,2024-02-22,CUST0480,subscription_monthly,103.92,Recurring Revenue,matched
REV000295,TX000301,2024-02-22,CUST0071,transaction_fee,42.96,Transaction Revenue,matched
REV000296,TX000302,2024-02-22,CUST0289,transaction_fee,144.54,Transaction Revenue,matched
REV000297,TX000303,2024-02-22,CUST0031,subscription_monthly,31.78,Recurring Revenue,matched
REV000298,TX000304,2024-02-22,CUST0439,subscription_monthly,222.33,Recurring Revenue,matched
REV000299,TX000305,2024-02-22,CUST0381,transaction_fee,106.23,Transaction Revenue,matched
REV000300,TX000306,2024-02-22,CUST0268,subscription_annual,1971.26,Recurring Revenue,matched
REV000301,TX000307,2024-02-23,CUST0011,subscription_monthly,296.33,Recurring Revenue,matched
